Source,Target,Weight
0,1,0.0767448519314881
0,2,0.03328710836980798
0,3,0.6276166845699834
0,4,0.9021220531217843
0,5,0.03328710836980798
0,6,0.051262146889504256
0,7,0.05252458278048384
0,8,0.079222486778071
0,9,0.08031394675762452
0,10,0.07859649530686177
0,11,0.913841582466191
0,12,0.048012442708628
0,13,0.08089796582383296
0,14,0.1232124015776299
0,15,0.26966294586850986
0,16,0.04824537322191422
0,17,0.22931927935823382
0,18,0.05169391693813913
0,19,0.8767961256785859
0,20,0.03328710836980798
0,21,0.12629278456480195
0,22,0.03328710836980798
0,23,0.062488507512995665
0,24,0.03328710836980798
0,25,0.32081898436916284
0,26,0.07225149860206823
0,27,0.08069921055913239
0,28,0.03328710836980798
0,29,0.051574179291919466
0,30,0.05221574760083072
0,31,0.05175852979776675
0,32,0.03328710836980798
0,33,0.03328710836980798
0,34,0.11994167453426371
0,35,0.15412113521639148
0,36,0.10496285999862563
0,37,0.03328710836980798
0,38,0.05209653419449802
0,39,0.7937039474620506
0,40,0.08018583842951905
0,41,0.03596392301370633
0,42,0.07771661717421907
0,43,0.07519614905317562
0,44,0.05256036739928905
0,45,0.03328710836980798
0,46,0.12429031297280793
0,47,0.7847291078700694
0,48,0.03328710836980798
0,49,0.052267344617054304
0,50,0.0765050867548131
0,51,0.07846797466039442
0,52,0.05240432723599154
0,53,0.03328710836980798
0,54,0.07969386778373536
0,55,0.12472197139939399
0,56,0.05178610787089964
0,57,0.03328710836980798
0,58,0.05255975168265362
0,59,0.03328710836980798
0,60,0.03328710836980798
0,61,0.049766828702322304
0,62,0.03328710836980798
0,63,0.23498249315947953
0,64,0.03328710836980798
0,65,0.12104096876559362
0,66,0.07911231088446548
0,67,0.12203098614168106
0,68,0.03328710836980798
0,69,0.052210704561027124
0,70,0.052032307936620746
0,71,0.0523615924522944
0,72,0.03328710836980798
0,73,0.07581466449767785
0,74,0.03328710836980798
0,75,0.12404829558055379
0,76,0.10555054685638098
0,77,0.9096539901582406
0,78,0.07663845587032286
0,79,0.05231505752690843
0,80,0.080496875349157
0,81,0.03328710836980798
0,82,0.03328710836980798
0,83,0.1255603927744187
0,84,0.08024583964162338
0,85,0.03328710836980798
0,86,0.052262983493001396
0,87,0.03328710836980798
0,88,0.08003257318689284
0,89,0.05209243001750946
0,90,0.0777370822996246
0,91,0.05180196579548279
0,92,0.1642324161458057
0,93,0.07960676499910121
0,94,0.03328710836980798
0,95,0.385512167067079
0,96,0.051262146889504256
0,97,0.08085310001066418
0,98,0.03328710836980798
0,99,0.9078375866597828
1,2,0.03328710836980798
1,3,0.03328710836980798
1,4,0.2781328314482311
1,5,0.17268250384989767
1,6,0.051973930485746014
1,7,0.8718868464748587
1,8,0.0790783800008046
1,9,0.03328710836980798
1,10,0.4708038939620268
1,11,0.052524468294860106
1,12,0.03328710836980798
1,13,0.18695152551150598
1,14,0.1211398150922148
1,15,0.051262146889504256
1,16,0.051749134284744785
1,17,0.08229908260762438
1,18,0.03328710836980798
1,19,0.03328710836980798
1,20,0.03328710836980798
1,21,0.08066945081032195
1,22,0.03328710836980798
1,23,0.05244729541838194
1,24,0.06591855604086337
1,25,0.03328710836980798
1,26,0.05175152255011729
1,27,0.051262146889504256
1,28,0.08144484598727698
1,29,0.44116922218715654
1,30,0.03328710836980798
1,31,0.03328710836980798
1,32,0.043707230208101674
1,33,0.03328710836980798
1,34,0.07411387965879289
1,35,0.03328710836980798
1,36,0.07883448577641596
1,37,0.05308782750392363
1,38,0.03328710836980798
1,39,0.08113141837795639
1,40,0.03328710836980798
1,41,0.3371065991094939
1,42,0.051445697244944466
1,43,0.051813727967045614
1,44,0.051272315784557
1,45,0.03328710836980798
1,46,0.7290712540305665
1,47,0.12494900649487849
1,48,0.17016624433650127
1,49,0.03328710836980798
1,50,0.08163784055776015
1,51,0.07502045362220672
1,52,0.04804889472231786
1,53,0.5733592160572846
1,54,0.12012129534319756
1,55,0.12305889635236646
1,56,0.25839600670792306
1,57,0.051347311067369894
1,58,0.11284426166979493
1,59,0.02643440342633599
1,60,0.12444210365837662
1,61,0.11403494518415143
1,62,0.05748551347595249
1,63,0.03328710836980798
1,64,0.022502085257990172
1,65,0.03328710836980798
1,66,0.06700596414696486
1,67,0.0724862643995807
1,68,0.11318999294115181
1,69,0.08114690603956198
1,70,0.05161346244876279
1,71,0.03328710836980798
1,72,0.0504331931425504
1,73,0.3668100911657636
1,74,0.1847823719005138
1,75,0.061715254491597586
1,76,0.08046096086653332
1,77,0.08202721318229297
1,78,0.022502085257990172
1,79,0.05248657362439279
1,80,0.07804859538604955
1,81,0.05176548709241309
1,82,0.08088673349510118
1,83,0.05193953449948557
1,84,0.05191210725490521
1,85,0.1243596368026182
1,86,0.03328710836980798
1,87,0.12294473586759928
1,88,0.08622298140563596
1,89,0.037375768447582856
1,90,0.1666413807134146
1,91,0.18790235954945397
1,92,0.17215219592832395
1,93,0.05231428603293077
1,94,0.44916363594806913
1,95,0.4544695822093523
1,96,0.051344323080924466
1,97,0.03328710836980798
1,98,0.18109888925215065
1,99,0.03328710836980798
2,3,0.10002948029384702
