Source,Target,Weight
0,1,0.12035988645779148
0,2,0.05220457767610163
0,3,0.12387217090567575
0,4,0.6244316352878018
0,5,0.05220457767610163
0,6,0.08039504962119647
0,7,0.05220457767610163
0,8,0.07940541254799482
0,9,0.12595734136479114
0,10,0.07905752440823503
0,11,0.6446593038215916
0,12,0.0752984989550899
0,13,0.08168147293341238
0,14,0.08039504962119647
0,15,0.12364804136213627
0,16,0.05220457767610163
0,17,0.15794290965730884
0,18,0.08107219984980024
0,19,0.8391088948670475
0,20,0.05220457767610163
0,21,0.05220457767610163
0,22,0.05220457767610163
0,23,0.08035944762381246
0,24,0.05220457767610163
0,25,0.1011990510694739
0,26,0.11331290567754948
0,27,0.081236894828016
0,28,0.05220457767610163
0,29,0.05220457767610163
0,30,0.05220457767610163
0,31,0.08117353298489356
0,32,0.05220457767610163
0,33,0.05220457767610163
0,34,0.12168135504739881
0,35,0.159729095087877
0,36,0.07830875510046043
0,37,0.05220457767610163
0,38,0.08170362939903651
0,39,0.27416793255017974
0,40,0.12575642751276056
0,41,0.05640265870042594
0,42,0.1218839177294023
0,43,0.11793103686203033
0,44,0.05220457767610163
0,45,0.05220457767610163
0,46,0.08160348661927042
0,47,0.3748815702542714
0,48,0.05220457767610163
0,49,0.05220457767610163
0,50,0.11998385980955589
0,51,0.07892461222286916
0,52,0.05220457767610163
0,53,0.05220457767610163
0,54,0.08054909022219083
0,55,0.05220457767610163
0,56,0.08121678401304025
0,57,0.05220457767610163
0,58,0.05220457767610163
0,59,0.05220457767610163
0,60,0.05220457767610163
0,61,0.07804992388705395
0,62,0.05220457767610163
0,63,0.18184121072938866
0,64,0.05220457767610163
0,65,0.18983002625861542
0,66,0.1240728011823937
0,67,0.08031254013807439
0,68,0.05220457767610163
0,69,0.05220457767610163
0,70,0.08160290257617914
0,71,0.05220457767610163
0,72,0.05220457767610163
0,73,0.08179850608873482
0,74,0.05220457767610163
0,75,0.08125988279915414
0,76,0.10697410792540758
0,77,0.5217789532031489
0,78,0.0772555606576725
0,79,0.05220457767610163
0,80,0.08102226181332044
0,81,0.05220457767610163
0,82,0.05220457767610163
0,83,0.05220457767610163
0,84,0.12585052814484798
0,85,0.05220457767610163
0,86,0.05220457767610163
