Source,Target,Weight
0,1,0.06605490620699181
0,2,0.04526851950032695
0,3,0.7677972408199465
0,4,0.8868335677099318
0,5,0.02865047968601903
0,6,0.06930386807719348
0,7,0.04520832735756068
0,8,0.0681874262821144
0,9,0.06912685459246484
0,10,0.06764863042967055
0,11,0.9066192082968477
0,12,0.04132469240696722
0,13,0.06962952446113475
0,14,0.10604989683235344
0,15,0.23210104845530505
0,16,0.04152517755770546
0,17,0.197376932891678
0,18,0.044493366641310754
0,19,0.8104519894676133
0,20,0.02865047968601903
0,21,0.10870120703985646
0,22,0.02865047968601903
0,23,0.05378435685133252
0,24,0.02865047968601903
0,25,0.39124964256447825
0,26,0.096803943955236
0,27,0.0694584542194505
0,28,0.02865047968601903
0,29,0.04439030749413113
0,30,0.04494251045503258
0,31,0.04454897944497188
0,32,0.02865047968601903
0,33,0.02865047968601903
0,34,0.103234755977419
0,35,0.13265329041643303
0,36,0.13885822046511553
0,37,0.02865047968601903
0,38,0.044839902525305224
0,39,0.8375148860286706
0,40,0.10726797926640809
0,41,0.03095443540143374
0,42,0.06689131230262299
0,43,0.06472192528651582
0,44,0.045239127464399655
0,45,0.02865047968601903
0,46,0.1635755077878439
0,47,0.8959776555084088
0,48,0.02865047968601903
0,49,0.04498692041845595
0,50,0.06584853840695867
0,51,0.0675380116841208
0,52,0.045104822451206825
0,53,0.02865047968601903
0,54,0.06859314767362497
0,55,0.10734919561891634
0,56,0.04457271611249179
0,57,0.02865047968601903
0,58,0.045238597512180324
0,59,0.02865047968601903
0,60,0.02865047968601903
0,61,0.042834706425468314
0,62,0.02865047968601903
0,63,0.4189204988540467
0,64,0.02865047968601903
0,65,0.1591233309255911
0,66,0.06809259701167836
0,67,0.10503304314316059
0,68,0.02865047968601903
0,69,0.07049323726722038
0,70,0.044784622472854314
0,71,0.04506804028200789
0,72,0.02865047968601903
0,73,0.06525428646314098
0,74,0.02865047968601903
0,75,0.1067693574681159
0,76,0.13988424299718208
0,77,0.9140081293507069
0,78,0.06596333026848669
0,79,0.04502798730054585
0,80,0.10750853733123951
0,81,0.02865047968601903
0,82,0.02865047968601903
0,83,0.10807083158400536
0,84,0.06906823425447135
0,85,0.02865047968601903
0,86,0.04498316676419743
0,87,0.02865047968601903
0,88,0.06888467411578089
0,89,0.04483637002743451
0,90,0.06690892679929807
0,91,0.04458636515467005
0,92,0.31207624450330923
0,93,0.06851817761212153
0,94,0.02865047968601903
0,95,0.5898741695607772
0,96,0.04412173871646928
0,97,0.06959090809787158
0,98,0.02865047968601903
0,99,0.9138049952441933
1,2,0.02865047968601903
1,3,0.02865047968601903
1,4,0.4769520404134419
1,5,0.14862920845265767
1,6,0.04473437653524307
1,7,0.9094621782900552
1,8,0.06806339242946428
1,9,0.0710707664472754
1,10,0.5394732734379833
1,11,0.045208228818871155
1,12,0.02865047968601903
1,13,0.23940748183514576
1,14,0.15996833330029367
1,15,0.06930388492569106
