Source,Target,Weight
4,32,0.6062325608838212
6,85,0.628590506856487
8,21,0.6741403178216323
15,99,0.626493422260469
18,74,0.6771439587730987
19,79,0.5321045736761174
21,33,0.5027180724038844
22,94,0.7637460699607619
24,48,0.7376491921084539
25,28,0.7222500650148025
26,28,0.6915228290027035
27,73,0.8258892121559661
28,53,0.6897480265211386
29,84,0.5602678812920389
34,93,0.5820898818716623
37,47,0.5560797101314799
39,53,0.5943525713514675
41,98,0.5029081108497939
43,75,0.8228221348158467
45,72,0.6709068061921726
50,61,0.7785811881675677
50,91,0.5583008019423757
65,96,0.6586921092466176
76,99,0.5633542469471683
86,93,0.7226930743855717
