Source,Target,Weight
0,76,0.8794703240596945
1,45,0.7171092889044969
1,60,0.5537408499316776
1,63,0.750171359764115
1,98,0.8181943348725762
2,31,0.8716611383831105
2,70,0.5564868407815746
2,92,0.8497051485240625
2,97,0.5869319268745761
3,87,0.8691278540274139
3,95,0.5350506017836294
4,32,0.81415386748825
4,75,0.9023350020272132
4,93,0.7107844082386724
5,68,0.787601228511744
5,71,0.6735734541374218
6,74,0.8752859372253682
6,85,0.9106404698904002
7,25,0.5487279059141977
7,41,0.5909057757106434
8,21,0.8571533354965765
8,60,0.8858691419349288
11,74,0.8345908070026548
12,32,0.5412500401077291
12,54,0.621399113303553
14,42,0.6099905304133271
14,49,0.6358399862266519
15,71,0.565489848941686
15,85,0.5377157191689774
15,99,0.8731056503811471
16,29,0.7330071428768665
16,92,0.7738042198981221
17,68,0.6210020086422672
18,74,0.8122299649708786
18,91,0.5243636380405029
19,47,0.863187089297235
19,79,0.8708839735029761
21,33,0.8701258235276823
21,43,0.6349314218511378
22,71,0.6402635497121247
22,74,0.5952227311671592
22,76,0.7625111116273123
22,94,0.8501846528217327
23,76,0.7636274034397859
24,39,0.884758800566176
24,48,0.8531878905655833
24,70,0.7860357150392564
24,84,0.7545809020738993
24,93,0.8973972965760031
25,28,0.8758301213470826
25,63,0.7140825136240154
26,28,0.8965364518031735
26,54,0.8834057247662827
27,73,0.8546286646025832
28,53,0.8952148074955318
28,93,0.5937599693103865
29,73,0.7578138875363403
29,84,0.811005179328051
30,75,0.5748213094247545
31,49,0.5588224125822946
31,96,0.5476721854932664
31,99,0.6524466875232082
32,45,0.5785704065549757
32,73,0.7103580691143312
32,92,0.7016121751210183
33,56,0.6969342534658634
34,63,0.7682712198770562
34,64,0.6982065109094762
34,70,0.6694410963343753
34,73,0.8920986650364766
34,93,0.7436829870492889
36,98,0.7235313595448543
37,39,0.5191871989642456
37,47,0.6271429652038907
38,75,0.5785821702698251
39,53,0.8717821946682023
39,59,0.6987710960860779
39,82,0.5390088325786105
40,59,0.7762595003612742
40,61,0.6101246099750408
40,84,0.5774034867121158
41,98,0.8586534566109186
42,54,0.6566072908784656
43,75,0.9137673380127187
43,85,0.8153484286539431
45,72,0.8068641022767697
46,76,0.7665049735584211
48,84,0.5083624496574358
49,86,0.6509801516476967
50,61,0.8997074139132394
50,64,0.7928733251599237
50,91,0.8997038470905397
51,56,0.5435138870498792
53,78,0.5982608950124862
53,84,0.7267792546476624
53,96,0.7179961336822733
57,65,0.5008585980605037
58,88,0.8159573471520349
59,72,0.6795405384187201
63,84,0.7592385368525888
63,86,0.5872505736041683
63,88,0.5079670376335641
64,72,0.6429800633096023
64,99,0.6622920391576532
65,87,0.6797566058455464
65,96,0.8161831505872053
67,70,0.8639994815437656
69,97,0.5376549617357604
71,97,0.757992743715591
72,93,0.8780669430580502
74,79,0.7098348679101938
76,89,0.5988167931042535
76,99,0.6046785059637191
77,97,0.6684689179422101
79,86,0.5720466804212084
82,84,0.636163725481612
86,93,0.8542036244220845
86,97,0.6168587215798609
88,90,0.7213113698280326
90,91,0.6146064332738634
95,99,0.750376155248077
