Source,Target,Weight
0,76,0.5408638894208441
1,63,0.546892213771258
2,92,0.7011404909508134
3,87,0.6375219872244221
4,32,0.7842128744778357
4,75,0.6733512195087021
4,93,0.5723533240423472
6,74,0.545727985470943
6,85,0.8029539906332579
8,21,0.7812438893908313
8,60,0.5369269796888627
11,74,0.502492162125266
15,99,0.566874690614675
16,29,0.5863410750247394
16,92,0.5977080019529076
18,74,0.8068819276084098
19,79,0.7288866859714758
21,33,0.5962486048791745
22,71,0.5109946493663682
22,74,0.5138862187688962
22,94,0.8507174006619145
24,39,0.6395056165464039
24,48,0.6674525904037251
24,70,0.7134577757951427
24,84,0.5178113934830286
24,93,0.6314123600787205
25,28,0.6535188840042978
26,28,0.832951362410828
26,54,0.5695971427665212
27,73,0.8455339269158447
28,53,0.8034464187541543
29,84,0.6418443401810942
34,64,0.5624537995650932
34,73,0.5625186083330704
34,93,0.5266967057776117
37,47,0.626554918541714
39,53,0.6766380535971109
39,82,0.5722417737288362
40,59,0.5619440037611099
41,98,0.7175513046476516
43,75,0.8895816842138624
43,85,0.5529542383858053
45,72,0.7971204927549458
46,76,0.5045444403737075
50,61,0.8684809366649553
50,64,0.6037156564064973
50,91,0.6386217986948143
53,84,0.6697445084122131
57,65,0.5060341871882212
64,99,0.696213329916518
65,96,0.5960092674113696
72,93,0.6303022849314134
76,99,0.6253441910237229
77,97,0.5509645227455802
86,93,0.7765441778546582
95,99,0.5573558894766616
