Source,Target,Weight
0,35,0.8601909830817948
0,54,0.520785985190297
0,76,0.9138154855518438
1,9,0.8699255774054917
1,10,0.8430664603284723
1,45,0.9049357569636566
1,46,0.8492319771713505
1,49,0.5820722210311139
1,60,0.8558094862007855
1,63,0.90205088963339
1,92,0.6103198817486406
1,98,0.9134534837116114
2,31,0.9032112008310478
2,32,0.7585054514328149
2,60,0.5287341753638658
2,70,0.6587631670317914
2,83,0.814355858768499
2,92,0.879011812316178
2,93,0.8689780346099798
2,97,0.6376647446954031
2,99,0.6219682469130996
3,87,0.9029000735795485
3,95,0.7422561837232707
4,32,0.8910261866012035
4,75,0.9103769467532326
4,93,0.9115211015329444
4,94,0.6033059885396771
5,51,0.5177719289039668
5,68,0.8857534010015956
5,71,0.9104030103030745
5,91,0.6945691752791838
6,26,0.5412224971157348
6,74,0.8919954483134781
6,85,0.9111102685685297
7,25,0.8983635088444735
7,41,0.8607298843954811
7,48,0.9009928891653248
7,63,0.6340346411215175
8,21,0.909541050795268
8,23,0.6957677616719874
8,51,0.8389832532722215
8,60,0.8223775865534034
8,98,0.8671208666734704
11,74,0.9058442859805602
12,32,0.9043687589413465
12,54,0.852317860743579
12,56,0.6739580642696407
13,36,0.8236315634516427
13,84,0.9036728643493845
13,92,0.7067377920656348
14,22,0.5115028673591138
14,42,0.8711791701075903
14,49,0.8400754042460413
15,39,0.5985029829394305
15,71,0.8964455588122503
15,85,0.8779445910425369
15,99,0.904468589777005
16,24,0.6790692541305112
16,29,0.9084145450511991
16,90,0.8556597645016958
16,92,0.8780543276477424
17,27,0.5358651848338436
17,67,0.6377810832343096
17,68,0.7987335643530346
17,83,0.541105643804772
18,50,0.8007885352192606
18,74,0.9098240579041034
18,78,0.6686519176559231
18,91,0.8439856988921879
19,38,0.6297707658016711
19,47,0.8918440376573504
19,79,0.8572554948434976
19,96,0.6840738361848483
20,68,0.64617706549967
20,72,0.6923164987445373
20,87,0.7365166782576024
20,88,0.6543034399911102
21,27,0.7926720986865279
21,33,0.9130857993221331
21,43,0.8947785064907094
21,86,0.5848334312861418
22,71,0.871078485446415
22,74,0.7781129958067257
22,76,0.9067407471878555
22,94,0.9138721288741404
23,36,0.7700298322040896
23,76,0.9125538366129687
24,39,0.9140163101975316
24,48,0.9059986243731928
24,65,0.663377669886212
24,70,0.8131625134673233
24,82,0.776969497012491
24,84,0.9069200399686498
24,93,0.8858630608956267
25,28,0.8840174720876118
25,31,0.5684597859412218
25,63,0.9098009651814528
25,95,0.862372191424678
26,28,0.8964179101598247
26,51,0.7642628958173108
26,53,0.6141857599065486
26,54,0.8887385958179608
26,56,0.8805831010938455
27,62,0.6238612464138654
27,73,0.8641359120519283
28,30,0.544299351462361
28,36,0.6200469426192751
28,53,0.8910049563337428
28,78,0.8010882438148107
28,93,0.9078149845183696
29,50,0.8452926962699144
29,73,0.9103677055109071
29,77,0.6819738237122851
29,84,0.8984510216243327
30,36,0.5004420293602698
30,38,0.750842329153699
30,75,0.8468245881894724
31,42,0.5634225035513267
31,49,0.7007533812146463
31,96,0.8871484956572374
31,99,0.7882741618224235
32,45,0.8771358851024361
32,48,0.7266476794290342
32,51,0.8713565734867561
32,73,0.9113994509425042
32,92,0.8836785376246602
33,56,0.7725610479074095
33,62,0.5776734734887246
34,63,0.9067037988271757
34,64,0.7067776992842737
34,67,0.7257750732128606
34,70,0.906100508067881
34,73,0.9083405684673628
34,93,0.9105432604706922
35,91,0.5859004276571601
35,93,0.8563079091618508
35,94,0.6052604699335059
36,40,0.6463455335077644
36,98,0.9021737908831948
37,39,0.7218770623448847
37,47,0.8821508421975536
37,78,0.7714539425841961
38,66,0.6323043101687893
38,75,0.8596823159954187
38,79,0.7832745512071416
38,99,0.7990825636574374
39,53,0.9133603379730386
39,59,0.9034852022470191
39,69,0.8261430261655673
