,Redbull,Zara,Redbull_05,Zara_05,Redbull_010,Zara_010,Redbull_015,Zara_015,Redbull_020,Zara_020,Redbull_025,Zara_025,Redbull_030,Zara_030
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.18000000000000008,0.18000000000000005,0.18000000000000005,0.18000000000000008,0.18,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.18,0.18000000000000005,0.18,0.18000000000000005,0.18,0.18
std,0.241209075662211,0.24120907566221106,0.07987421243716347,0.21438011176114274,0.04100496326812669,0.20610175366038028,0.021876531362393523,0.1989641405148191,0.01512811425891882,0.18883483435293547,0.011682759183842756,0.1844431025225243,0.009770898435331543,0.18430308007145302
min,0.1,0.1,0.1164154532292396,0.1,0.1402296307179128,0.1,0.1491571615635525,0.1,0.1559124846041438,0.1,0.1630839228404092,0.1,0.1630839228404092,0.1
25%,0.1,0.1,0.1419441371030042,0.1,0.16051082149229842,0.1,0.1699304198600638,0.1,0.17285184060322387,0.1,0.1745782180505229,0.10007543799999999,0.1756268193487001,0.100365276569212
50%,0.1,0.1,0.1552257946168277,0.1,0.16916415936936186,0.1,0.17504521656461305,0.10132552,0.1760846887502749,0.10587036195999999,0.17701661382430656,0.10610127062761959,0.17748164979103098,0.10650886840000001
75%,0.1,0.1,0.1763600561044601,0.1072,0.179586249366293,0.124522,0.1828046308294897,0.15392521866,0.18217338182099702,0.15833799999999998,0.18177047482126113,0.15684979659999998,0.18121449984690496,0.15833799999999998
max,0.9,0.9,0.5294340395053002,0.9,0.3612876115305164,0.9,0.2770904668030879,0.9,0.248243804361325,0.9,0.2322732755953532,0.867253032,0.2241335985356316,0.867253032
