,Redbull,Zara,Redbull_05,Zara_05,Redbull_010,Zara_010,Redbull_015,Zara_015,Redbull_020,Zara_020,Redbull_025,Zara_025,Redbull_030,Zara_030
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.18000000000000008,0.18000000000000008,0.18,0.18000000000000008,0.18000000000000005,0.18000000000000005,0.18,0.18000000000000005,0.18,0.18000000000000005,0.18,0.18000000000000005,0.18000000000000005,0.18
std,0.24120907566221106,0.2412090756622111,0.17834293045069993,0.013590947039430352,0.14642833505216354,0.0007715462328161753,0.10653675203104163,8.435719812779788e-05,0.087395852808082,4.726752260614951e-06,0.06461176907367018,3.088738731487597e-07,0.053387724678664136,2.4696222992621228e-08
min,0.1,0.1,0.1,0.1563357775475177,0.1,0.1785627548356742,0.10069752016,0.1797313395147049,0.1070840363372489,0.1799891390295591,0.1070840363372489,0.1799994772302665,0.1070840363372489,0.1799999744312764
25%,0.1,0.1,0.1,0.17226056085734787,0.10584978152588148,0.17970267177640742,0.11938765820166235,0.17997064827207584,0.13540337419237397,0.17999786973761212,0.14873418735579447,0.17999990189426593,0.155193230068044,0.17999999015424667
50%,0.1,0.1,0.106399036,0.17762960364681274,0.1310124395295168,0.1799008377886748,0.14625555242871308,0.17998486733163188,0.15415409052699836,0.1799994881249978,0.16367821163218416,0.17999994844497846,0.16927437253386454,0.17999999442370673
75%,0.1,0.1,0.1643542894,0.18272308783752017,0.17016913152232568,0.18012638344364978,0.1865365513410357,0.18001030385570033,0.18139674067192485,0.18000122028899462,0.1811261969194111,0.18000002118192654,0.18054790911087656,0.17999999995785065
max,0.9,0.9,0.825832,0.2429529554479213,0.7499199592,0.1856942074852737,0.5800673003869108,0.180567445294101,0.5481494371733231,0.180032321613093,0.4779193314804555,0.1800025076676092,0.4779193314804555,0.1800001565337886
