Source,Target,Weight
0,19,0.8974702204368703
0,20,0.7983014731674992
0,84,0.7340571053783024
0,85,0.8504141217504406
0,99,0.533302408214941
1,10,0.8951137148614163
1,53,0.6487160098545175
1,67,0.9129587949496791
1,68,0.8959872698627469
1,89,0.668812103683268
2,37,0.5213215120578368
3,9,0.5125171031998751
3,35,0.904105335963048
3,79,0.6591632969072632
4,47,0.8030610854069714
4,55,0.8529332775815777
4,67,0.8493510007603529
4,98,0.509340662638726
5,66,0.8827244655315389
6,70,0.599420879083496
7,57,0.8000815361495734
7,89,0.8685869644603912
8,11,0.7834282952145061
8,28,0.5324469869173906
8,80,0.55030524446048
8,81,0.7522372184049722
9,11,0.5345579619500045
9,30,0.5179551456501322
9,33,0.6090829456384814
9,55,0.7597793712741818
9,67,0.5456740865791034
9,96,0.9130927660663238
10,38,0.8303870118226547
10,76,0.7799627438742119
10,81,0.5988056421411218
10,87,0.6326982204177329
11,30,0.5199116426085806
11,85,0.647044862089802
12,14,0.5135860780229388
12,28,0.9126429473742821
12,32,0.5928799737722215
12,43,0.5207107049096269
13,28,0.758473442043986
13,74,0.9138455378234387
14,45,0.7299311592855731
14,56,0.6534429960594023
14,64,0.9088123292407253
14,72,0.75559011891518
14,74,0.5460424375108024
14,75,0.7330028797875027
15,24,0.8723896836398221
15,55,0.5106022995980761
15,58,0.8185219434738331
15,61,0.8198183042954815
16,19,0.8310973242349619
16,31,0.9058129663052426
16,36,0.5016805765008264
16,49,0.6770757254513041
16,83,0.719648424717543
16,95,0.7726604033431315
17,32,0.8723177097456719
17,48,0.8377087636350653
18,26,0.8813729107421276
18,79,0.7803488582356453
18,95,0.6245525894580845
20,45,0.8361274374549615
20,57,0.7812097229354562
20,74,0.8345121821140329
20,86,0.8746976813020151
20,87,0.6568519091853086
20,90,0.5232433308721111
21,46,0.8562659832993473
21,73,0.8339568178430293
21,79,0.5501645701917884
22,32,0.8905620669154606
22,65,0.6805423576089198
22,84,0.894095211601843
22,95,0.8946899180041252
23,48,0.5335188893876921
23,88,0.5319347272200045
24,56,0.6052757924836627
24,67,0.7419148807794802
24,68,0.7638904395637314
24,78,0.889729901258538
25,31,0.5115972406237969
25,86,0.6987280478121988
26,36,0.875360885878355
26,47,0.6533407708823625
26,84,0.5336236280306004
28,56,0.7523035513697277
28,98,0.8368603823282096
29,49,0.8945865962517511
29,58,0.6552079268540143
29,87,0.8813831992551533
30,43,0.703571426218543
30,47,0.5321438506194429
30,59,0.617527475768768
30,62,0.8286292484919182
30,80,0.9114509122539532
30,84,0.5484094646239212
30,90,0.8371764797541048
31,53,0.7197462565014879
31,57,0.7151136029561587
31,63,0.5788032456998753
31,66,0.7565422401287608
31,92,0.8363516565982195
31,94,0.7996740125680423
32,49,0.7477963358746078
32,90,0.7526513290472329
33,39,0.8015888863916526
33,55,0.6457992939930044
33,56,0.7449730476392402
33,57,0.811247358587201
33,65,0.8006106116983169
33,89,0.705672500707189
34,66,0.688214239614979
34,74,0.6007172618974629
36,44,0.612774570366842
36,96,0.8201710980553701
37,89,0.7809692494588054
38,89,0.5090030555263599
38,98,0.5044969156189666
41,81,0.7389713387319846
41,97,0.5136289098611235
41,99,0.8678625732452875
43,96,0.8901743299639864
44,90,0.6342453535311134
45,66,0.5250181409874534
45,78,0.734304390748372
47,58,0.6892817667934122
47,70,0.7703348463820648
48,63,0.8777035602126922
48,96,0.5188646101057683
48,99,0.810929620546613
49,94,0.5170726647853137
49,98,0.5277753182013665
50,79,0.5795562612985565
50,95,0.8937023704722475
50,96,0.8049605579425105
51,94,0.7851089991125743
53,55,0.9086619231866737
53,82,0.5275597411882054
53,84,0.8909351533720217
54,98,0.8988949730240242
55,77,0.549752564106775
55,91,0.6182995606983512
56,95,0.659890246544174
58,75,0.6027299025414706
59,99,0.6673697956762622
61,75,0.7423409526992815
62,73,0.5996213815098703
62,75,0.618814438490037
62,91,0.771956953403647
63,71,0.8903840995180863
64,68,0.6476914508537494
64,70,0.8427997095931401
64,82,0.8177513522678321
64,96,0.8414292755893561
67,93,0.635029930791718
68,79,0.6677692553945004
74,75,0.905682823666546
74,98,0.7195083516143533
75,77,0.7093199438409613
75,85,0.7343571034506755
77,90,0.5784636613348976
79,96,0.7095182580600803
81,94,0.9018732557634598
90,94,0.8140473486524732
92,94,0.8787367931020619
94,99,0.8226843712441728
