Source,Target,Weight
0,6,0.7343732819053493
0,19,0.8989727213805501
0,20,0.9120658602710706
0,23,0.6865391882053059
0,32,0.6618179229914545
0,63,0.8774616449084284
0,65,0.787194709742284
0,78,0.6840024711280133
0,84,0.9125740640354094
0,85,0.8697518941885977
0,99,0.8655050312995283
1,10,0.9144162753967926
1,51,0.5234979010155587
1,53,0.8819561621952188
1,64,0.5942465033045381
1,67,0.9144637929672713
1,68,0.9138971808020625
1,78,0.7234675227767593
1,89,0.9082616646109137
1,90,0.8801332566066747
1,96,0.626309081923386
2,13,0.5465269687630169
2,21,0.7758863093844985
2,37,0.913011174942431
2,72,0.6300015718236155
2,76,0.8148664938118927
2,81,0.6182245655106413
2,96,0.9072689270171029
3,9,0.7913197977513583
3,21,0.9084948444775112
3,35,0.9145342020932978
3,66,0.8963941436106465
3,78,0.9090759113423666
3,79,0.907691167097413
3,81,0.6759222797926826
3,95,0.8733997291512419
3,97,0.8767722584251437
4,27,0.5157809818113483
4,34,0.6575541234347599
4,43,0.8848173534231782
4,47,0.8574420159598154
4,55,0.855763415843677
4,67,0.8908653151222988
4,98,0.9045835464664743
5,9,0.775691021025705
5,46,0.5571785623889041
5,54,0.881174401077884
5,66,0.9145035064740087
5,84,0.675933342816404
5,86,0.5833890255413113
5,91,0.8482796211971301
6,59,0.6305729823527966
6,70,0.9116901407276787
6,92,0.8133734866139873
7,9,0.90396991527652
7,12,0.52265432296115
7,50,0.6528764430110455
7,57,0.8916595254451799
7,89,0.9144815094144151
8,11,0.9102230330410533
8,20,0.5182952365929319
8,28,0.8944501759404728
8,32,0.8654171197696425
8,43,0.5204841266240335
8,58,0.654514338386947
8,62,0.726054909000488
8,73,0.8856391454009819
8,80,0.901325379230899
8,81,0.9136597987955419
9,11,0.9017219841782609
9,30,0.8821464910076663
9,33,0.8508629092239269
9,39,0.8911468711357069
9,49,0.7742922198183382
9,55,0.9120509969840088
9,56,0.8789764196276197
9,66,0.876637399109357
9,67,0.9128328629507808
9,96,0.9145462647135615
10,12,0.8549312778894259
10,14,0.5342956111883496
10,26,0.6663894122794397
10,28,0.7661191645891537
10,38,0.9110287284947205
10,50,0.7585857656196978
10,52,0.9019142008092271
10,76,0.91368013256645
10,81,0.8607323972445872
10,83,0.6898489609438556
10,87,0.9072007805011616
11,30,0.8268940134041571
11,68,0.5549137918738164
11,71,0.8952102347388129
11,80,0.839507962624353
11,81,0.8945694657504213
11,85,0.9073561759574061
11,89,0.9095180802943027
11,94,0.8535403879536909
11,96,0.6369453260273523
12,14,0.8881261870322252
12,28,0.9145456713220117
12,32,0.8740308638678047
12,43,0.9118756707543199
12,47,0.5706968808782766
12,48,0.5238815309978124
12,55,0.7853614941927999
12,58,0.8812783453239339
12,95,0.8105147997465861
12,98,0.6223076409135623
12,99,0.8173445830620838
13,14,0.6557963456222452
13,19,0.609105318574699
13,28,0.7859968529505736
13,50,0.835159301077963
13,59,0.9030538127627044
13,74,0.9092096493531822
13,82,0.6482119062008109
13,85,0.5813739555316805
14,15,0.6518500970018304
14,18,0.8707582610830156
14,32,0.5297418450188827
14,35,0.5477334548204175
14,45,0.8748589295792899
14,56,0.9133003215680717
14,64,0.9034132560347936
14,72,0.9011732980360369
14,74,0.8691853702708098
14,75,0.7946390405725915
14,89,0.7058699272208566
14,91,0.8347693010741878
15,21,0.7504341060641628
15,24,0.9131697263540111
15,26,0.517820200048236
15,31,0.9126460315985746
15,55,0.8961892767296782
15,58,0.9090837989361075
15,60,0.6210054471937799
15,61,0.8993058905592408
15,68,0.8083056446781529
15,85,0.6291508961423915
15,86,0.6794873781954615
15,87,0.8655725243432513
16,19,0.8862303567162593
16,25,0.8705907498859149
16,31,0.8689155705912357
16,36,0.9114453141118024
16,49,0.8903022502055083
16,50,0.7781513199574501
16,64,0.7592829240233414
16,68,0.6518440093011635
16,83,0.8773347639684135
16,95,0.913502154072484
17,32,0.9140533781628808
17,40,0.7836552357115877
17,44,0.7523670271261602
17,48,0.9093180492216075
17,79,0.7314788862002015
18,24,0.7822106536818219
18,26,0.8632641672151947
18,35,0.8620120167815283
18,53,0.611742684647469
18,79,0.9143065246452091
18,95,0.836717894538124
19,24,0.505883053182677
19,32,0.5944025773390349
19,43,0.669689795492231
19,79,0.8984169995187247
19,87,0.5313543177047767
19,92,0.7294116777159707
20,45,0.914307179182413
20,57,0.9013042170267246
20,74,0.913011558280154
20,86,0.9090738114602522
20,87,0.9123953151989876
20,90,0.5919357594418774
21,46,0.9136462043417437
21,66,0.522625743688428
21,73,0.9083079275433966
21,79,0.5799346075286705
21,86,0.5050936341023787
21,91,0.8296939368285141
21,99,0.7552626327649629
22,32,0.9045240014921129
22,33,0.8245840637448496
22,48,0.5291854058141638
22,51,0.8337061677470611
22,65,0.9108283680813416
22,75,0.6745094184606112
22,84,0.9117331384519443
22,95,0.7415875387819076
23,27,0.9004700277789716
23,39,0.9048346955200306
23,48,0.7323076103417128
23,84,0.8669481220965567
23,88,0.9108572312408991
23,89,0.5886800968333821
24,56,0.9098363518278332
24,66,0.8989654035039135
24,67,0.8166527670501219
24,68,0.9120049096198405
24,71,0.6384624697438939
24,78,0.8667144428805047
24,80,0.88838368482973
24,88,0.6977979548520583
25,30,0.8414957000959135
25,31,0.8803916180577069
25,34,0.5306506801263934
25,39,0.7432686990948397
25,78,0.8722304591906906
25,84,0.5149744432564267
25,86,0.9121514679696093
26,28,0.5322396996593145
26,36,0.9047597156063005
26,42,0.6965491152785626
26,47,0.9138825020209913
26,64,0.5313906626856152
26,84,0.9128827825938048
26,87,0.8361443764037387
27,50,0.5139215048718118
27,64,0.7450893343913548
28,33,0.62510789910454
28,38,0.7933573652599709
28,56,0.9123276734515965
28,58,0.9074735056760331
28,88,0.8573344552785817
28,98,0.9089201793631365
29,49,0.9145209191461354
29,52,0.8023682168111397
29,58,0.8625217476511162
29,87,0.9145014894402763
29,91,0.8017845951494608
