Source,Target,Weight
0,19,0.8802315345834407
0,20,0.7981540053382465
0,84,0.632177943024995
0,85,0.7969095616476518
1,10,0.8756960490034399
1,53,0.5326152704368554
1,67,0.9112373812606649
1,68,0.8773710318699458
1,89,0.5549133618802576
2,37,0.5480502375454488
3,9,0.5387944169923965
3,35,0.8932469488957121
3,78,0.5230384338779875
3,79,0.5441303299714275
4,47,0.7244689414803291
4,55,0.8672590571080967
4,67,0.7951757955562522
4,98,0.535455116841104
5,66,0.8525641984503718
7,57,0.7201954488988841
7,89,0.8274579303724927
8,11,0.6968452357586862
8,81,0.6552712803597421
9,11,0.5619653347357142
9,33,0.6403112960453046
9,55,0.6924198616899625
9,96,0.9115147486935457
10,38,0.7651431828311396
10,76,0.8199522888850949
10,81,0.6295070639298461
10,87,0.6651373518537094
11,30,0.5465680825437821
11,85,0.6802195615736195
12,28,0.9105824363590486
12,32,0.6232775800469116
12,58,0.5252470454146193
13,28,0.6633785699569429
13,74,0.9130816464100031
14,45,0.7673555301011666
14,56,0.5378059458987527
14,64,0.9027165769458837
14,72,0.6596165491442704
14,75,0.7705847410809908
15,24,0.8340876807605849
15,31,0.5115220557131841
15,58,0.7471338973643885
15,61,0.7490741028485541
16,19,0.7662389548555226
16,31,0.8966580318871863
16,49,0.5642684831003147
16,83,0.6143981734788668
16,95,0.6821924827282498
17,32,0.8339602059836347
17,48,0.7765472264428437
18,26,0.8501068476808769
18,79,0.6926199922832349
18,95,0.6565740854640852
20,45,0.7740643130007154
20,57,0.6938016085422782
20,74,0.7715389667329103
20,86,0.8381532949928535
20,87,0.6905294267259239
20,90,0.5500705901173669
21,46,0.8502850088753017
21,73,0.7706733879994223
21,79,0.5783721108927654
22,32,0.8670636292928342
22,65,0.5682280170020257
22,84,0.8737500905007504
22,95,0.8748852370745003
23,88,0.5592076038850553
24,67,0.7799536701347313
24,68,0.6704984499641866
24,78,0.8655029623008844
25,86,0.589341976371469
26,36,0.839328689761124
26,47,0.5376934516329434
26,84,0.5609830964918808
28,56,0.6553564443783606
28,88,0.5189778589493182
28,98,0.7752128096470028
29,49,0.8746876158329152
29,58,0.6888011556180814
29,87,0.8501261776730427
30,43,0.5950678428878247
30,47,0.559427449270461
30,62,0.7624387695451978
30,80,0.9081192745302242
30,90,0.7757103186212344
31,53,0.7566484361848582
31,57,0.6088950504139964
31,63,0.6084791226929092
31,66,0.660857058493731
31,92,0.7744154431091869
31,94,0.7196124925229063
32,49,0.7698964597423122
32,90,0.6558071425657958
32,97,0.5077922107200726
33,39,0.7223520633570469
33,55,0.678910131834888
33,56,0.6459493864162433
33,57,0.8528409000941203
33,65,0.7339319581928166
33,89,0.6550672830603993
34,66,0.7234997382216306
34,74,0.631516694526949
36,96,0.7496038343493344
37,89,0.7020701287939692
41,81,0.638343429239872
41,99,0.8306759401004453
43,96,0.8663357608796783
44,77,0.5157704586593569
44,90,0.6667638081780526
45,78,0.7719529819357693
47,58,0.5983152569723378
47,70,0.741769812979673
48,63,0.8512361954489365
48,96,0.5454673675366093
48,99,0.7386895084425096
50,79,0.609270746226923
50,95,0.8779585130454176
50,96,0.7874981806807729
51,94,0.8253623982717588
53,55,0.9024108827602673
53,84,0.8677654484478842
54,98,0.8829930171910189
55,91,0.5000015124604589
56,95,0.5449358190375
59,99,0.5953717774396088
61,75,0.6735103819909712
62,75,0.650541733204735
62,91,0.6812465511411194
63,71,0.8667338898820169
64,68,0.5364451686687198
64,70,0.8860109747293751
64,82,0.773661424103008
64,96,0.7923017483822066
67,93,0.5177808528157412
68,79,0.5537400075005063
74,75,0.9096792238744958
74,98,0.756398333653327
75,77,0.6019207573271165
75,85,0.6325513323890922
77,90,0.5130824058027887
78,97,0.5204038898040846
79,96,0.7458960370496274
81,94,0.888823592132019
90,94,0.7460725055436486
92,94,0.8453532644821393
94,99,0.7533876117392629
