Source,Target,Weight
0,19,0.8480469806345158
0,20,0.7174501593181491
0,65,0.5165187634583578
0,84,0.5147247429274426
0,85,0.7156803401148062
1,10,0.8399230605271041
1,67,0.9076792534776337
1,68,0.8429055876934161
3,9,0.5664189974728774
3,35,0.8721432447455433
3,78,0.5498551878297105
3,79,0.5720284885605104
4,43,0.5151520298564934
4,47,0.7616132584004032
4,55,0.9117243798080656
4,67,0.7132250556573997
4,98,0.5629084877416994
5,66,0.8004322243624266
6,70,0.5050152969467997
7,57,0.7094881535252102
7,89,0.76064885207036
8,11,0.5871292884025168
8,81,0.5398202516843473
9,33,0.6731407582155002
9,55,0.5819543013236601
9,96,0.9082507057070632
10,38,0.6721591204936096
10,76,0.7492759991268508
10,81,0.6617825812739812
10,87,0.5507884450744002
11,85,0.5678616842595711
12,28,0.9063334266979478
12,32,0.6552337049225119
12,58,0.5521770373012941
13,28,0.6973907165509943
13,74,0.9114934870657042
14,45,0.6750945665172202
14,56,0.5653798463825265
14,64,0.8904900750356997
14,72,0.5446316165633177
14,75,0.6794059772227817
15,24,0.7708800194090899
15,58,0.7854402714219525
15,61,0.6511966918296831
16,19,0.6999209940320602
16,31,0.8786627996007281
16,83,0.5043650607119555
16,95,0.5701204183106375
17,32,0.7706816245519397
17,48,0.6874471703086239
18,26,0.7964073016770363
18,79,0.5821858588422588
18,95,0.5412590673006773
20,45,0.6840865605825065
20,57,0.5835695486244418
20,74,0.6806855753499114
20,86,0.7772453126850529
20,87,0.5797505715011674
21,46,0.7967023893892338
21,73,0.6795268576994934
22,32,0.8344004399646227
22,84,0.8364794707170389
22,95,0.8384850475806898
24,67,0.8199427499250428
24,68,0.7048756406122751
24,78,0.8221448913340932
25,86,0.6195581856404471
26,36,0.7839671434697707
26,84,0.5897453148974364
28,56,0.5399138507087791
28,98,0.6856365029839117
29,49,0.8381353240275445
29,58,0.5777434543575908
29,87,0.7964387819341855
30,43,0.5757110756343471
30,62,0.8015298411793669
30,80,0.9013101188495111
30,90,0.6863095966971337
31,53,0.7806292349158673
31,66,0.5460156491306591
31,92,0.6845576185578316
31,94,0.6143563621740572
32,49,0.6784858881098259
32,90,0.5404117281174132
32,97,0.5338272740948958
33,39,0.6276876727879553
33,55,0.7137185986348538
33,56,0.6790679196612242
33,57,0.80481405595447
33,65,0.632023102465799
33,89,0.5395953483472572
34,66,0.76059436302802
34,74,0.6638952478351083
36,44,0.5195519495159494
36,96,0.6518785573933927
37,89,0.5932914389492064
41,81,0.5213472137245138
41,99,0.8416870672398056
43,96,0.8235746994357019
44,90,0.7009495196471943
45,78,0.703976094764137
47,70,0.6418820765376527
48,63,0.8274412065146467
48,99,0.6379891759370071
50,95,0.8439563360988521
50,96,0.8186594235775055
51,94,0.7574476746161304
53,55,0.8998329009207655
53,84,0.8260383241985304
54,98,0.8534917974162463
55,91,0.5256371381939768
61,75,0.7080419976962831
62,75,0.6838957211045007
62,91,0.5753949110228401
63,71,0.8242725557644732
64,68,0.5639493006119862
64,70,0.8585904621956377
64,82,0.7281167065294241
64,96,0.7091781863899921
67,93,0.5443280448221169
74,75,0.9044848704445845
74,98,0.6606694308743206
75,77,0.6327818944867645
75,85,0.6649829327147958
79,96,0.7841389446516932
81,94,0.8638091485652563
90,94,0.6473547777710887
92,94,0.8213175820087013
94,99,0.6567586778269595
