Source,Target,Weight
0,19,0.7102421947235042
0,20,0.5134941654132748
1,10,0.8200393269781703
1,67,0.885966302699343
1,68,0.8630825413634472
3,35,0.7702319611872793
4,47,0.7017194621926722
4,55,0.902462858633925
5,66,0.6156849004114358
7,57,0.6531765614309386
7,89,0.7232428150493098
8,81,0.5965936431498173
9,96,0.8882453636740322
10,38,0.6027858197330856
10,76,0.7027430428436062
10,81,0.5750916740133691
12,28,0.8806873457508364
12,32,0.5674646777582001
13,74,0.9014876395217857
14,64,0.8285610415885005
14,75,0.5959952969263757
15,24,0.5673864101382045
15,58,0.7354914892804936
15,61,0.6038399428821493
16,31,0.788507212113954
17,32,0.5870519709373864
18,26,0.6087236810417627
20,45,0.6138107088909007
20,86,0.5772696449480332
21,46,0.6092704633037856
21,73,0.5961444226626754
22,32,0.7821721273752307
22,84,0.8143312378562862
22,95,0.7168687292472937
23,89,0.5067859659035913
24,67,0.7876781899317526
24,68,0.6272074115315173
24,78,0.6557082051772208
25,86,0.5636740352629691
26,36,0.5880022670517593
29,49,0.6883585305971075
29,87,0.6087711381766535
30,62,0.6176019845151528
30,80,0.8617513992518496
31,53,0.5993073143397165
31,63,0.5412700646477303
31,94,0.5294919858145287
32,49,0.6066700954145297
32,90,0.5972473257023688
33,39,0.5449172441228812
33,55,0.7204322248316178
33,57,0.6437100932173796
33,65,0.645280233231499
34,66,0.7003101791108627
39,50,0.5282277113593258
41,81,0.5761777788281018
41,99,0.8229819453717477
43,96,0.6585102400284087
45,78,0.6531031718786281
47,70,0.552103163939206
48,63,0.700246375897444
50,95,0.7117143223708694
50,96,0.6489735084910565
51,94,0.7033228725498294
53,55,0.8650251396440076
53,84,0.6960026146397558
54,98,0.7229031869309149
55,91,0.5809188785924934
61,75,0.6818358563088494
63,71,0.6599729064975147
64,70,0.7831695565777346
64,82,0.5940006603330438
74,75,0.873577549727704
74,98,0.6042149557182085
75,77,0.5476209407237482
79,96,0.6624435416776824
81,94,0.7596783054888689
92,94,0.678926967253199
94,99,0.5740378613424597
