,X,Y,X_05,Y_05,X_010,Y_010,X_015,Y_015,X_020,Y_020,X_025,Y_025,X_030,Y_030
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.18000000000000008,0.18000000000000008,0.18,0.18000000000000008,0.18000000000000005,0.18000000000000005,0.17999999999999997,0.18000000000000005,0.18,0.18000000000000005,0.18,0.18000000000000005,0.18,0.18
std,0.24120907566221106,0.24120907566221117,0.07573563274692806,0.22666903385573212,0.020989985266203562,0.21571063542878688,0.008621969012361102,0.19518228613002958,0.0031995459516158194,0.18658592903888913,0.0014275053159773438,0.16580756878740233,0.0006112403617283366,0.16075110842907858
min,0.1,0.1,0.1040243497035871,0.1,0.1518421858155863,0.1,0.166905758109773,0.1,0.1740214838426685,0.1,0.1776083266603569,0.1,0.1788369783285525,0.1
25%,0.1,0.1,0.13728311881133642,0.1,0.1656673878351415,0.1,0.1754212725899721,0.1,0.17818210251944253,0.10088501214000001,0.17917376546248714,0.10451305208926,0.17963929392681396,0.1063288401865469
50%,0.1,0.1,0.15812546819387835,0.1,0.17598198975545803,0.1,0.1782025898190735,0.10543866760000001,0.1794044791064493,0.10648,0.17967749804241975,0.11352099844455074,0.1799485898673246,0.12230579944820695
75%,0.1,0.1,0.19232254470854013,0.1,0.18571740196013214,0.1072,0.18231214570589702,0.158350834,0.1808865044084615,0.1595586,0.18047913084645822,0.1634975177055061,0.1801992579668981,0.1601116701870582
max,0.9,0.9,0.5903129507639846,0.9,0.2611604057922453,0.9,0.2200469798005985,0.9,0.1972570198570879,0.9,0.1872994834072228,0.9,0.1830303941449018,0.9
