,Redbull,Zara,Redbull_05,Zara_05,Redbull_010,Zara_010,Redbull_015,Zara_015,Redbull_020,Zara_020,Redbull_025,Zara_025,Redbull_030,Zara_030
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.18000000000000008,0.18000000000000008,0.18,0.18000000000000008,0.18000000000000008,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.18000000000000005,0.17999999999999997,0.18
std,0.24120907566221117,0.2412090756622111,0.07483760778286953,0.21080569310593883,0.032617744569441706,0.19672490355802807,0.01903906526684069,0.194642355000844,0.01424332040754782,0.18507828450469802,0.011586451577573414,0.17134145654689914,0.009932649114928756,0.16721215738699563
min,0.1,0.1,0.1086103789493549,0.1,0.1394518557850576,0.1,0.1526411228316032,0.1,0.1616523602017496,0.1,0.1663401459313927,0.1,0.1671165691990608,0.1
25%,0.1,0.1,0.1425112729575041,0.1,0.1637157997176846,0.1,0.1699732689809183,0.1,0.172595867223827,0.1,0.17441661403913816,0.10014366646,0.17503013582877755,0.10057275154
50%,0.1,0.1,0.1586964730574218,0.1,0.1708414415391541,0.1006156,0.1748107947251602,0.10516002760000001,0.17684815899963935,0.10644876964,0.17720184380849818,0.10781354329916,0.17756693133917034,0.10958458494844
75%,0.1,0.1,0.1810231003532094,0.1074,0.18312393943631347,0.160294294,0.18314721986040106,0.15998783698000002,0.18138284325390358,0.160746665938,0.1807647028761865,0.16481667317662002,0.1808011155124779,0.16480179064
max,0.9,0.9,0.5166865396799274,0.9,0.3180142039317361,0.9,0.2636062703172052,0.9,0.2469698829338558,0.9,0.2401556759572242,0.8200000000000001,0.2401556759572242,0.7955004880000001
