,X,Y,X_05,Y_05,X_010,Y_010,X_015,Y_015,X_020,Y_020,X_025,Y_025,X_030,Y_030
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.18000000000000008,0.18000000000000008,0.18000000000000005,0.18,0.18,0.18,0.18000000000000005,0.17999999999999997,0.18,0.17999999999999997,0.18,0.18,0.17999999999999997,0.18000000000000005
std,0.24120907566221103,0.2412090756622111,0.17521417849597373,0.01225526878149481,0.13812881173814212,0.0006808794108109088,0.11568980880211337,4.719736236167347e-05,0.09702072081203032,3.1739722592683556e-06,0.08525110267418405,2.7771959092928225e-07,0.07460442179629753,1.1220195936797652e-08
min,0.1,0.1,0.1,0.1612511135703263,0.1,0.1787440389084834,0.1,0.1798058206437818,0.10007128,0.1799822559630634,0.1061392325272509,0.1799984764644734,0.1186377938376295,0.1799999632936172
25%,0.1,0.1,0.10004574000000001,0.17265883747094657,0.10747527381726776,0.17961254371398544,0.12106089083739557,0.1799813362939676,0.13335726864122355,0.17999941541080833,0.140939589087073,0.17999994013301351,0.1482684908122659,0.1799999958186178
50%,0.1,0.1,0.1071316,0.17799549628921124,0.1397469836571476,0.18000477831113726,0.14843058668953185,0.17999880474341945,0.15504864856677186,0.18000012267942056,0.15828324655959755,0.17999999695647045,0.16237970365663165,0.17999999850092155
75%,0.1,0.1,0.1648,0.182917267249044,0.167254421389966,0.1802625832114487,0.17453331894725546,0.18001872316109901,0.17529795783396873,0.18000086841400184,0.17648153593303037,0.18000007641602242,0.17533173530136525,0.1800000035730775
max,0.9,0.9,0.9,0.2385945702689172,0.74880600469912,0.1838546504258627,0.6326815374395443,0.1802352655000631,0.6148467814775948,0.1800129350113962,0.6148467814775948,0.1800016130120516,0.5752912785325258,0.1800000659097766
