,Redbull,Zara,Redbull_05,Zara_05,Redbull_010,Zara_010,Redbull_015,Zara_015,Redbull_020,Zara_020,Redbull_025,Zara_025,Redbull_030,Zara_030
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.18000000000000008,0.18000000000000008,0.18000000000000005,0.18,0.18,0.17999999999999997,0.18,0.18000000000000005,0.18,0.18,0.18000000000000005,0.18000000000000005,0.18,0.17999999999999997
std,0.24120907566221114,0.24120907566221111,0.1817091276450004,0.013230993251054562,0.12770449085668492,0.0010306537599149034,0.07843026935182809,2.8532981960644434e-05,0.054241265760847215,3.4234380778401064e-06,0.04491370565449569,4.0512675295353e-07,0.03786558948610846,9.86716504172306e-08
min,0.1,0.1,0.1,0.164685919842266,0.1009726647221147,0.1790919678475445,0.1097142576789678,0.1799754744646654,0.1231685959780109,0.1799980895084186,0.1241894536388963,0.1799994599489699,0.1424770258660541,0.1799998295487548
25%,0.1,0.1,0.1000702,0.17419098179151077,0.11679690766196422,0.17968064702322098,0.1387192620561864,0.17999292842002168,0.15321448773311444,0.1799994786962431,0.15991540344812266,0.17999992543613522,0.16286287400260835,0.17999998018217025
50%,0.1,0.1,0.10648360000000001,0.1769452046616951,0.14156200371683725,0.17975555771148827,0.16193924486444417,0.17999507197400894,0.1668176380631578,0.17999962898437286,0.1726909568039552,0.17999996324059844,0.17417423294335835,0.17999999116326565
75%,0.1,0.1,0.16005178,0.179870720797493,0.17358921209334133,0.17988168239051633,0.18306670582834988,0.1799998732365446,0.18332155799718747,0.17999979352680226,0.18132574753277228,0.17999999863719665,0.1814552047457163,0.179999999622545
max,0.9,0.9,0.8205832,0.2556857842706854,0.7544816912800001,0.186580694298575,0.5718368305849757,0.180246847029975,0.4904668366085048,0.1800331233628736,0.4574700198958933,0.1800037125099328,0.4283991639198847,0.1800006960021437
